sysnum,title,author,date,place
14,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,James Kim,1886-10-27T15:41:47Z,Buôn Trấp
15,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Arthur Vasquez,1865-01-05T02:49:27Z,Torre do Pinhão
16,null,Denise Wallace,1856-01-26T01:11:54Z,Beixiang
17,␢,Julia Mcdonald,1889-09-04T15:50:42Z,Singosari
18,␣,Julie Turner,1850-09-14T20:00:20Z,Guruyan
19,"<>?:""{}|_+",Joyce Fernandez,1891-09-22T22:13:33Z,Tuanlin
20,사회과학원 어학연구소,Kimberly Sims,1892-05-23T23:40:01Z,Vazhiny
21,",./;'[]\-=",Lori Johnson,1850-10-31T23:10:18Z,Richmond
22,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,Arthur Hill,1888-02-19T00:11:58Z,El Fahs
23,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Alice Patterson,1886-01-27T23:53:39Z,Jastrzębia Góra
24,1/2,Catherine Roberts,1886-05-16T12:50:15Z,Limboto
25,(｡◕ ∀ ◕｡),Jonathan Bailey,1869-08-21T10:36:34Z,Funtua
26,和製漢語,Steven Johnston,1896-02-03T03:20:30Z,Op
27,١٢٣,Julia Torres,1886-11-03T13:08:15Z,Causwagan
28,/dev/null; touch /tmp/blns.fail ; echo,Randy Pierce,1849-03-11T17:57:43Z,Riachos
29,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Beverly Hansen,1849-02-26T07:22:21Z,Kout na Šumavě
30,社會科學院語學研究所,Angela Knight,1870-04-05T05:25:39Z,Rîbniţa
31,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",Roger Elliott,1891-05-09T02:13:46Z,Vellinge
32,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Julie Morales,1853-07-23T21:36:10Z,Moxi
33,../../../../../../../../../../../etc/passwd%00,Donald Evans,1856-05-06T13:57:12Z,Ké-Macina
34,œ∑´®†¥¨ˆøπ“‘,Fred Peters,1882-08-06T03:31:36Z,Wisła
35,0/0,Linda Thomas,1845-11-06T06:02:29Z,Orda
36,-$1.00,Kimberly Roberts,1870-07-17T09:03:01Z,Rouen
37,👩🏽,Jason Johnston,1846-05-15T14:38:53Z,Kolomak
38,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,Joseph Hall,1855-11-01T13:29:26Z,Sumuran
39,⁰⁴⁵,Janet Sanders,1899-06-02T20:41:59Z,Panshan
40,-1E+02,Nicholas Freeman,1872-02-26T04:58:42Z,Katwijk
41,test⁠test‫,Alice Long,1848-07-10T14:45:29Z,Téra
42,​,Douglas Rodriguez,1867-12-03T19:04:21Z,Pandaan
43,1;DROP TABLE users,Norma Chavez,1850-11-17T14:26:51Z,Hangbu
44,<svg><script>0<1>alert('XSS')</script>,Mary Stone,1860-03-29T03:32:55Z,Joyabaj
45,nil,Evelyn Stevens,1852-08-06T14:45:02Z,Kitsuki
46,1.00,Beverly Dean,1872-11-01T13:10:35Z,Udi
47,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,William Williams,1848-08-11T02:23:36Z,Lembung Tengah
48,␡,Samuel Wallace,1877-12-26T12:48:17Z,Mouzáki
49,œ∑´®†¥¨ˆøπ“‘,Amy Franklin,1892-12-08T21:07:44Z,Sahnaiya
50,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Norma Alexander,1885-01-13T19:04:41Z,Belmullet
