sysnum,title,author,date,place
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway,"ARMSTRONG, Andrew J.",1896,London
003757808,Baranya multja és jelenje. [With illustrations and a map.],"VÁRADY, Ferencz.",1896,Pécsett
003605161,Ballads and Songs ... With original illustrations by H. M. Brock,"Thackeray, William Makepeace",1896,London
002386709,"The City of Gold. A tale of sport, ... travel, and adventure in the heart of the Dark Continent. With illustrations by H. Piffard","MARKWICK, Edward Barrister-at-Law",1896,London
000492169,[A History of Nottinghamshire.],"Brown, Cornelius.",1896,London
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
000907750,"L'Allemagne, 1789-1810. Fin de l'ancienne Allemagne. [With illustrations.]","DENIS, Ernest.",1896,Paris
002054014,Geschichte der Stadt Konstanz und ihrer nächsten Umgebung,"LAIBLE, Joseph.",1896,Konstanz
001939511,The Music of the Poets. A Musician's Birthday Book. Edited by E. d'Esterre-Keeling,"KEELING, Eleonore d'Esterre.",1896,London
002903060,"A Treatise on Ore Deposits ... Second edition, rewritten and greatly enlarged by H. Louis, etc","PHILLIPS, John Arthur.",1896,London
001993778,"Memorie per la storia della Liburnica, città di Fiume, etc","KOBLER, Giovanni.",1896,Fiume
002581303,Onze Gouden Eeuw. De Republiek der Vereenigde Nederlanden in haar bloeitijd ... Geïllustreerd onder toezicht van J. H. W. Unger,"MULLER, Pieter Lodewijk.",1896,Leiden
003523089,"Chronicles of Strathearn. With illustrations by W. B. Macdougall, etc","MACDOUGALL, William Brown.",1896,Crieff
003159008,The Metallurgy of Gold ... Second edition,"ROSE, Thomas Kirke Sir",1896,London
003743042,"Badauderies parisiennes. Les Rassemblements: physiologies de la rue ... [Edited with a] prologue par O. Uzanne, etc","UZANNE, Octave.",1896,Paris
003757808,Baranya multja és jelenje. [With illustrations and a map.],"VÁRADY, Ferencz.",1896,Pécsett
002943020,A Mixed World. A novel,"POHL, Adolphus.",1896,London
002784658,Notes in Japan ... With illustrations by the author,"PARSONS, Alfred William.",1896,London
003537490,The Poems of Sir John Suckling. (Edited by John Gray and decorated by C. Ricketts.),"SUCKLING, John Sir",1896,London
001553747,"Appendix to the Twelfth Edition of the Pilot's Handbook for the English Channel [by J. W. King]; giving the latest changes in Lights and Buoys, to November, 1896. [The preface is signed: T. A. H., i.e. T. A. Hull.]","H., T. A.",1896,London
003058557,"Reed's tables of distances between ports in all parts of the world. Seventh edition, etc","REED, Thomas of Sunderland",1896,Sunderland
000015282,The Growth of the French Nation,"ADAMS, George Burton.",1896,"Meadville, Pa"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
001308646,Nama und Damara. Deutsch Süd-West-Afrika,"FRANÇOIS, Hugo von.",1896,Magdeburg
003561238,"The Coronation Cruise of the “Midnight Sun” to Russia, Whitsuntide, 1896. A record","SYKES, Arthur Alkin.",1896,London
001712958,"The Evolution of a Wife. A romance, etc","HOLLAND, Elizabeth pseud. [i.e. Lady (Ethel) Owen.]",1896,London
002300886,"A Book of Old English Ballads. With an accompaniment of decorative drawings by G. W. Edwards, and an introduction by H. W. Mabie","MABIE, Hamilton Wright.",1896,New York
001656304,"[The Bravest of the Brave: or, With Peterborough in Spain. ... With ... illustrations, etc.]","Henty, G. A. (George Alfred)",1896,Glasgow; W. Briggs
002427500,The Husband of Poverty. A drama [in five acts and in verse] of the life of Francis of Assisi,"MAUGHAM, Henry Neville.",1896,London
000495563,[The Story of Africa and its Explorers. [With plates and maps.]],"BROWN, Robert M.A., Ph.D",1896,London
002117312,How Dick and Molly saw England ... With illustrations,"LEGH, Mary Helena Cornwall.",1896,London
003664363,The Final War. A story of the Great Betrayed ... Illustrated by E. F. Sherie,"Tracy, Louis",1896,London
001384296,"[Outlines of Geology ... Second edition revised, etc.]","GEIKIE, James.",1896,London
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
000433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.],"BOURGEOIS, Émile.",1896,London
001567835,"The Half Hour Library of Travel, Nature and Science for young readers",,1896,London
001514854,Saunterings in Florence. A new artistic and practical hand-book for English and American tourists. With one hundred illustrations and maps,"GRIFI, Elvira.",1896,Florence
000371673,"Taking a Stand, etc","BLANCHARD, Amy Ella.",1896,Philadelphia
000034575,Sedbergh School Songs. Written and illustrated by R. St. J. Ainslie,"AINSLIE, Ralph St. John.",1896,Leeds
003501199,[A Child's Garden of Verses ... Second edition.],"Stevenson, Robert Louis",1896,"pp. xiv. 136. John Lane: London, 1896 [1895]"
001745619,A History of Rome to the death of Cæsar,"HOW, Walter Wybergh and LEIGH (Henry Devenish)",1896,London
001316031,Fredensborg. Det danske Kongehus og dets Slægt. Med Bidrag af danske og fremmede Forfattere og Kunstnere,,1896,Kjøbenhavn
001656304,"[The Bravest of the Brave: or, With Peterborough in Spain. ... With ... illustrations, etc.]","Henty, G. A. (George Alfred)",1896,Glasgow; W. Briggs
001240452,Die Hunnen im schweizerischen Eifischthale und ihre Nachkommen bis auf die heutige Zeit ... Mit vielen ... Illustrationen,"FISCHER, Ant. Carl.",1896,Zürich
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc","HELLWALD, Friedrich Anton Heller von Baron",1896,Leipzig
003605161,Ballads and Songs ... With original illustrations by H. M. Brock,"Thackeray, William Makepeace",1896,London
000079514,"The Town and City of Waterbury, Connecticut, from the aboriginal period to the year eighteen hundred and ninety-five","ANDERSON, Joseph Rev., of Waterbury, Connecticut",1896,New Haven
000364223,[Black's Guide to the Isle of Man.],"BLACK, Adam Publisher, and BLACK (Charles) Publisher",1896,London
001384296,"[Outlines of Geology ... Second edition revised, etc.]","GEIKIE, James.",1896,London
002491871,"Personal Recollections and Observations of General Nelson A. Miles, embracing a brief view of the civil war ... and the story of his Indian campaigns ... Copiously illustrated ... by F. Remington, etc","MILES, Nelson Appleton.",1896,Chicago
000209482,"[Sonnets. By E. B. B. [i.e. Elizabeth Barrett Browning.] [Purporting to be the first edition of “Sonnets from the Portuguese,” first published in the 1850 edition of “Poems.”]]","Browning, Elizabeth Barrett",1896,Boston
002782859,New Wheels in Old Ruts. A pilgrimage to Canterbury via the ancient pilgrim's way ... With pen and ink sketches by F. W. R. Adams,"PARR, Henry Miscellaneous Writer",1896,London
000034575,Sedbergh School Songs. Written and illustrated by R. St. J. Ainslie,"AINSLIE, Ralph St. John.",1896,Leeds
002054014,Geschichte der Stadt Konstanz und ihrer nächsten Umgebung,"LAIBLE, Joseph.",1896,Konstanz
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.],"BLAKE, Anthony.",1896,London
000598049,"[Illustrated Official Handbook of the Cape and South Africa. A résumé of the history, conditions, populations, productions, and resources of the several colonies, states, and territories. Edited by John Noble. [With a map.]]","NOBLE, John Clerk of the House of Assembly, Cape of Good Hope",1896,London
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill,"BARRETT, Charles Raymond Booth.",1896,London
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc","HELLWALD, Friedrich Anton Heller von Baron",1896,Leipzig
000034575,Sedbergh School Songs. Written and illustrated by R. St. J. Ainslie,"AINSLIE, Ralph St. John.",1896,Leeds
002746680,Essai historique sur Châteauneuf en Brionnais ou Chatellenie Royale sur les bords du Sornin. [With illustrations.],"PAGANI, L.",1896,Lyon
003121708,"Paris de siècle en siècle. Le cœur de Paris, splendeurs et souvenirs. Texte, dessins et lithographes par A. Robida","ROBIDA, Albert.",1896,Paris
001495840,The Official Guide to the Great Western Railway ... Abridged and popular edition. Illustrated,,1896,London
001820978,The Alhambra ... With an introduction by E. R. Pennell. Illustrated with drawings of the places mentioned by J. Pennell,"IRVING, Washington.",1896,London
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
002491871,"Personal Recollections and Observations of General Nelson A. Miles, embracing a brief view of the civil war ... and the story of his Indian campaigns ... Copiously illustrated ... by F. Remington, etc","MILES, Nelson Appleton.",1896,Chicago
002558919,"Mercantile Manchester, past and present ... With ... illustrations","MORTIMER, John Cashier, Manchester",1896,Manchester
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc","REDWOOD, Boverton Sir, Bart",1896,London
001200964,"Musa Pedestris: three centuries of canting songs and slang rhymes, etc","FARMER, John Stephen.",1896,London]
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
002558919,"Mercantile Manchester, past and present ... With ... illustrations","MORTIMER, John Cashier, Manchester",1896,Manchester
000207740,Revenge! etc. [Short stories.],"Barr, Robert",1896,London
002090702,Napoléon et la disette de 1812. A propos d'une émeute aux Halles de Caen,"LAVALLEY, Gaston.",1896,Paris
003468096,Selbsterlebtes in Ostafrika ... Illustriert von Maler R. Hellgrewe. Mit zwei ... Übersichtskarten,SPRING Captain,1896,Dresden-Leipzig
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]","BOURGEOIS, Émile.",1896,Paris
003829292,La France aux colonies,"WAHL, Maurice.",1896,Paris
001240452,Die Hunnen im schweizerischen Eifischthale und ihre Nachkommen bis auf die heutige Zeit ... Mit vielen ... Illustrationen,"FISCHER, Ant. Carl.",1896,Zürich
003430223,"The Web of an old Weaver, etc","SNOWDEN, James Keighley.",1896,London
000145189,[Cousin Geoffrey and I ... With ... illustrations by W. Parkinson.],"AUSTIN, Caroline pseud. [i.e. Mrs. Whitway.]",1896,London
000364223,[Black's Guide to the Isle of Man.],"BLACK, Adam Publisher, and BLACK (Charles) Publisher",1896,London
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc","REDWOOD, Boverton Sir, Bart",1896,London
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
001034471,He went out with the Tide. [A novel.],"EDEN, Guy Ernest Morton.",1896,London
001820978,The Alhambra ... With an introduction by E. R. Pennell. Illustrated with drawings of the places mentioned by J. Pennell,"IRVING, Washington.",1896,London
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
003159008,The Metallurgy of Gold ... Second edition,"ROSE, Thomas Kirke Sir",1896,London
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc","SARRAZIN, Albert Avocat",1896,Rouen
001567835,"The Half Hour Library of Travel, Nature and Science for young readers",,1896,London
000350706,Anteckningar fran Italien af en svensk diplomat. [With plates.],"BILDT, Carl Nils Daniel Baron",1896,Stockholm
001656304,"[The Bravest of the Brave: or, With Peterborough in Spain. ... With ... illustrations, etc.]","Henty, G. A. (George Alfred)",1896,Glasgow; W. Briggs
000410925,"[De Paris au Tonkin à travers le Tibet inconnu. Ouvrage contenant une carte ... et cent huit illustrations, etc.]","BONVALOT, Gabriel.",1896,Paris
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.],"BLAKE, Anthony.",1896,London
000760332,"History of Concord, New Hampshire, from the original grant in seventeen hundred and twenty-five to the opening of the twentieth century. Prepared under the supervision of the City History Commission. James O. Lyford, editor","LYFORD, James Otis.",1896,Concord
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
000403057,"Gazetteer of the Bombay Presidency. [Edited by Sir James M. Campbell. General index, by R. E. Enthoven.]","Campbell, James M. (James Macnabb) Sir",1896,Bombay
001704007,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer","HOFBERG, Johan Herman.",1896,Stockholm
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc","HELLWALD, Friedrich Anton Heller von Baron",1896,Leipzig
002117312,How Dick and Molly saw England ... With illustrations,"LEGH, Mary Helena Cornwall.",1896,London
002415000,"The Struggle of the Nations. Egypt, Syria, and Assyria ... Edited by A. H. Sayce. Translated by M. L. McClure. With map ... and ... illustrations","MASPERO, Gaston Camille Charles.",1896,London
003561238,"The Coronation Cruise of the “Midnight Sun” to Russia, Whitsuntide, 1896. A record","SYKES, Arthur Alkin.",1896,London
002736641,"West Dene Manor, etc. [A story.]","OWEN, afterwards VISGER, Jean Allan.",1896,London
000015282,The Growth of the French Nation,"ADAMS, George Burton.",1896,"Meadville, Pa"
003775837,"У Болгаръ и заграницей, 1881-1893 ... Продолженіе очерковъ “Дома и на Войнѣ” ... Изданіе второе","VERESHCHAGIN, Aleksandr Vasil'evich.",1896,С.-Петербургъ
003159008,The Metallurgy of Gold ... Second edition,"ROSE, Thomas Kirke Sir",1896,London
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc","SARRAZIN, Albert Avocat",1896,Rouen
002390844,The Novels of Captain Marryat. Edited by R. Brimley Johnson. L.P,"Marryat, Frederick",1896,London
000495563,[The Story of Africa and its Explorers. [With plates and maps.]],"BROWN, Robert M.A., Ph.D",1896,London
001352199,Songs for Little People. [With illustrations by H. Stratton.],"GALE, Norman Rowland.",1896,"pp. viii. 110. Constable & Co.: London, 1896"
002958410,Spicuirĭ din trecutul t̡ĕrilor române cu privire la viat̡a s̡i suferint̡ele poporuluĭ de la sate,"POPESCU-CERNICA, Al.",1896,Bucurescĭ
000498737,"Gerald Thurlow; or, the New marshal. A story of California, etc","BROWNE, Tryphena Margaret.",1896,London
001583657,"Études historiques et géographiques ... Ouvrage contenant 10 cartes hors texte, etc","HAMY, Ernest Théodore.",1896,Paris
003194598,The edge of the Orient,"RUSSELL, Robert Howard.",1896,London
000433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.],"BOURGEOIS, Émile.",1896,London
000658681,Through Jungle and Desert. Travels in Eastern Africa ... With illustrations from photographs taken by the author and maps. [With a portrait.],"CHANLER, William Astor.",1896,London
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
003501199,[A Child's Garden of Verses ... Second edition.],"Stevenson, Robert Louis",1896,"pp. xiv. 136. John Lane: London, 1896 [1895]"
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]","BOURGEOIS, Émile.",1896,Paris
001910294,The Growth of the American Nation,"JUDSON, Harry Pratt.",1896,London
001384296,"[Outlines of Geology ... Second edition revised, etc.]","GEIKIE, James.",1896,London
000403057,"Gazetteer of the Bombay Presidency. [Edited by Sir James M. Campbell. General index, by R. E. Enthoven.]","Campbell, James M. (James Macnabb) Sir",1896,Bombay
001495840,The Official Guide to the Great Western Railway ... Abridged and popular edition. Illustrated,,1896,London
003757808,Baranya multja és jelenje. [With illustrations and a map.],"VÁRADY, Ferencz.",1896,Pécsett
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.],"BLAKE, Anthony.",1896,London
002893249,Napoléon et son temps ... Ouvrage illustré ... Neuvième mille,"PEYRE, Roger.",1896,Paris
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc","REDWOOD, Boverton Sir, Bart",1896,London
000520363,Deutsch-Südwestafrika. Drei Jahre im Lande Hendrik Witboois. Schilderungen von Land und Leuten ... Mit zahlreichen Abbildungen ... und zwei Karten,"BUELOW, Franz Josef von.",1896,Berlin
002599224,Изъ исторіи Москвы. 1147-1703. Очерки. Съ 212 рисунками. [By] В. Н. [i.e. by V. Nazarevsky.],"N., V.",1896,"pp. II. 272. Москва, 1896"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
001059442,"The People's Standard History of the United States from the landing of the Norsemen to the present time. By E. S. Ellis ... Assisted by, with introduction, annotations, lists of authorities, etc., G. M. Adam","Ellis, Edward Sylvester",1896,London
000489690,[A Treatise on Mine-surveying ... With ... diagrams.],"BROUGH, Bennett Hooper.",1896,London
000015282,The Growth of the French Nation,"ADAMS, George Burton.",1896,"Meadville, Pa"
001384296,"[Outlines of Geology ... Second edition revised, etc.]","GEIKIE, James.",1896,London
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc","SARRAZIN, Albert Avocat",1896,Rouen
003822117,The Story of a Fool and his Folly,"VYNNE, Nora.",1896,London
001967178,Trooper Ross and Vignal Butte. [A tale.],"KING, Charles General",1896,London; Philadelphia printed
000115982,"[Old Caleb's Will: or, the Fortunes of the Cardew family.]","ARMSTRONG, Frances Charlotte.",1896,London
002903060,"A Treatise on Ore Deposits ... Second edition, rewritten and greatly enlarged by H. Louis, etc","PHILLIPS, John Arthur.",1896,London
002368499,The Household of Sir Thos. More. With an introduction by W. H. Hutton and ... illustrations by J. Jellicoe and H. Railton,"MANNING, Anne.",1896,London
001567835,"The Half Hour Library of Travel, Nature and Science for young readers",,1896,London
003265383,"The Township of Scarboro, 1796-1896. Edited by David Boyle. [With plates.]","BOYLE, David of the Ontario Provincial Museum",1896,Toronto
003501199,[A Child's Garden of Verses ... Second edition.],"Stevenson, Robert Louis",1896,"pp. xiv. 136. John Lane: London, 1896 [1895]"
000832719,"Manningham, Heaton, and Allerton, townships of Bradford, treated historically and topographically. [With plates.]","Cudworth, William of Bradford",1896,Bradford
002117312,How Dick and Molly saw England ... With illustrations,"LEGH, Mary Helena Cornwall.",1896,London
001970021,Westward Ho! ... With illustrations by C. E. Brock,"Kingsley, Charles",1896,London
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway,"ARMSTRONG, Andrew J.",1896,London
002441052,Catalina: Art Student ... With eight illustrations,"MEADE, afterwards SMITH, Elizabeth Thomasina.",1896,London & Edinburgh
000119124,East and West. Being papers reprinted from the “Daily Telegraph” and other sources ... With ... illustrations by R. T. Pritchett,"Arnold, Edwin Sir",1896,London
003420096,"Strathendrick and its Inhabitants from early times. An account of the parishes of Fintry, Balfron, Killearn, Drymen, Buchanan, and Kilmaronock. [With illustrations.] (Memoir of the author, by C. D. Donald.)","SMITH, John Guthrie.",1896,Glasgow
003159008,The Metallurgy of Gold ... Second edition,"ROSE, Thomas Kirke Sir",1896,London
002804029,Eli's Daughter. [A novel.],"PEARCE, Joseph Henry.",1896,London
003822117,The Story of a Fool and his Folly,"VYNNE, Nora.",1896,London
001611278,"The Shannon and its Lakes; or, a short history of that noble stream from its source to Limerick","HARVEY, R.",1896,Dublin
001506560,"The Great Rift Valley. Being the narrative of a journey to Mount Kenya and Lake Baringo. With some account of the geology, natural history, anthropology, and future prospects of British East Africa ... With maps and illustrations","GREGORY, John Walter.",1896,London
001701575,"A Short History of the Borough of Sudbury ... Compiled from materials collected by W. W. Hodson, by C. F. D. Sperling. [With illustrations.]","HODSON, William Walter.",1896,Sudbury
003501199,[A Child's Garden of Verses ... Second edition.],"Stevenson, Robert Louis",1896,"pp. xiv. 136. John Lane: London, 1896 [1895]"
001704007,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer","HOFBERG, Johan Herman.",1896,Stockholm
002686114,"Chez les Abarambos. Ce que devient l'Afrique mystérieuse, etc","NYS, Fernand.",1896,Anvers
003485095,Never Give In. A tale of the life and times of Gustavus Adolphus,"STEBBING, Grace.",1896,London
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
003605161,Ballads and Songs ... With original illustrations by H. M. Brock,"Thackeray, William Makepeace",1896,London
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill,"BARRETT, Charles Raymond Booth.",1896,London
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
003443692,Kjøbenhavns Belejring og Fyens Gjenerobring ... 1658-59. Efter Forfatterens Død samlede af P. Fr. Rist og H. w. Harbou,"SÖRENSEN, Sören Anton.",1896,Kjøbenhavn
002486743,The Official Guide to the Midland Railway ... Abridged and popular edition. Illustrated,,1896,London
003159008,The Metallurgy of Gold ... Second edition,"ROSE, Thomas Kirke Sir",1896,London
003324299,"Études historiques sur Raucourt et Haraucourt et la région avoisinante, etc","SÉCHERET-CELLIER, Victor Amédée.",1896,Sedan
001656304,"[The Bravest of the Brave: or, With Peterborough in Spain. ... With ... illustrations, etc.]","Henty, G. A. (George Alfred)",1896,Glasgow; W. Briggs
001144078,"Conquest of the Country Northwest of the River Ohio, 1778-1783, and life of Gen. George Rogers Clark. Over one hundred and twenty-five illustrations. With numerous sketches of men who served under Clark, etc","ENGLISH, William Hayden.",1896,Indianapolis
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
001567835,"The Half Hour Library of Travel, Nature and Science for young readers",,1896,London
001668893,"Amyas Egerton, Cavalier. [A romance.]","HERVEY, Maurice H. Special Correspondent of “The Times.”",1896,Bristol
003821060,"The Forgotten Isles. Impressions of travel in the Balearic Isles, Corsica, and Sardinia. Rendered into English by F. Breton. With ... illustrations by the author","VUILLIER, Gaston.",1896,London
003501199,[A Child's Garden of Verses ... Second edition.],"Stevenson, Robert Louis",1896,"pp. xiv. 136. John Lane: London, 1896 [1895]"
000487642,The Century Book of Famous Americans. The story of a young people's pilgrimage to historic homes. With ... illustrations,"BROOKS, Elbridge Streeter.",1896,New York
002300588,"Afrikanische Frühlings-italienische Sommer-Tage. Federskizzen eines Touristen über Algier, Tunis, Sicilien, Capri, etc","MAASS, Alfred.",1896,Leipzig
001567835,"The Half Hour Library of Travel, Nature and Science for young readers",,1896,London
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc","REDWOOD, Boverton Sir, Bart",1896,London
002500254,[Milne's Express Series.],"MILNE, John Publisher",1896,London
002784658,Notes in Japan ... With illustrations by the author,"PARSONS, Alfred William.",1896,London
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc","LYELL, Charles Sir, Bart",1896,London
001352199,Songs for Little People. [With illustrations by H. Stratton.],"GALE, Norman Rowland.",1896,"pp. viii. 110. Constable & Co.: London, 1896"
001567835,"The Half Hour Library of Travel, Nature and Science for young readers",,1896,London
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc","HAAS, Hippolyt J.",1896,Kiel
000489690,[A Treatise on Mine-surveying ... With ... diagrams.],"BROUGH, Bennett Hooper.",1896,London
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]","BOURGEOIS, Émile.",1896,Paris
003375787,The Burman ... By Shway Yoe,,1896,London
003257008,A Noble Wife. A novel,"SAUNDERS, John Novelist",1896,London
000383667,[A Charge to Keep.],"BLYTH, P. A.",1896,London
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway,"ARMSTRONG, Andrew J.",1896,London
002536380,Worth While. (Lady Jane.) [Tales.],"MONTRÉSOR, F. F.",1896,London
